Month-Year,Stock Name,Week,Percentage Change
Apr-2023,ABFRL.NS,17,-2.3136818687430427
Apr-2023,ABFRL.NS,18,-0.20170327207529745
May-2023,ABFRL.NS,19,-4.438991746598267
May-2023,ABFRL.NS,20,-3.5202719106579266
May-2023,ABFRL.NS,21,-6.0315115706548506
May-2023,ABFRL.NS,22,3.7924677376876574
May-2023,ABFRL.NS,23,2.207001522070012
Jun-2023,ABFRL.NS,23,-0.34431874077718494
Jun-2023,ABFRL.NS,24,-3.557599225556628
Jun-2023,ABFRL.NS,25,4.293559660509233
Jun-2023,ABFRL.NS,26,-4.428303655107787
Mar-2023,ABMINTLLTD.NS,13,-5.003523608174767
Mar-2023,ABMINTLLTD.NS,14,-14.207650273224035
Apr-2023,ABMINTLLTD.NS,15,-9.674329501915716
Apr-2023,ABMINTLLTD.NS,16,15.625
Apr-2023,ABMINTLLTD.NS,17,-8.095676172953079
Apr-2023,ABMINTLLTD.NS,18,-0.09541984732823885
May-2023,ABMINTLLTD.NS,19,-1.364877161055505
May-2023,ABMINTLLTD.NS,20,-8.867924528301891
May-2023,ABMINTLLTD.NS,21,10.217391304347831
May-2023,ABMINTLLTD.NS,22,14.49704142011833
May-2023,ABMINTLLTD.NS,23,-6.070549630844959
Jun-2023,ABMINTLLTD.NS,23,-4.215851602023609
Jun-2023,ABMINTLLTD.NS,24,-5.429071803852892
Jun-2023,ABMINTLLTD.NS,25,-1.2962962962963016
Jun-2023,ABMINTLLTD.NS,26,-8.785784797630791
Mar-2023,ABSLAMC.NS,13,-3.177543459675115
Mar-2023,ABSLAMC.NS,14,-0.3362690152121734
Apr-2023,ABSLAMC.NS,15,4.30255703567601
Apr-2023,ABSLAMC.NS,16,1.4761259225787118
Apr-2023,ABSLAMC.NS,17,1.223286661753862
Apr-2023,ABSLAMC.NS,18,-0.04433934377772217
May-2023,ABSLAMC.NS,19,4.390100176782568
May-2023,ABSLAMC.NS,20,-0.15527950310559327
May-2023,ABSLAMC.NS,21,-3.8986086237773736
